央视,#genre#
北京卫视,https://www.sxtv.top/cctv.php?id=bjws
东方卫视,https://www.sxtv.top/cctv.php?id=dfws
天津卫视,https://www.sxtv.top/cctv.php?id=tjws
重庆卫视,https://www.sxtv.top/cctv.php?id=cqws
黑龙江卫视,https://www.sxtv.top/cctv.php?id=hljws
辽宁卫视,https://www.sxtv.top/cctv.php?id=lnws
河北卫视,https://www.sxtv.top/cctv.php?id=hbws
山东卫视,https://www.sxtv.top/cctv.php?id=sdws
安徽卫视,https://www.sxtv.top/cctv.php?id=ahws
河南卫视,https://www.sxtv.top/cctv.php?id=hnws
湖北卫视,https://www.sxtv.top/cctv.php?id=hubws
湖南卫视,https://www.sxtv.top/cctv.php?id=hunws
江西卫视,https://www.sxtv.top/cctv.php?id=jxws
江苏卫视,https://www.sxtv.top/cctv.php?id=jsws
浙江卫视,https://www.sxtv.top/cctv.php?id=zjws
东南卫视,https://www.sxtv.top/cctv.php?id=dnws
广东卫视,https://www.sxtv.top/cctv.php?id=gdws
深圳卫视,https://www.sxtv.top/cctv.php?id=szws
广西卫视,https://www.sxtv.top/cctv.php?id=gxws
贵州卫视,https://www.sxtv.top/cctv.php?id=gzws
四川卫视,https://www.sxtv.top/cctv.php?id=scws
新疆卫视,https://www.sxtv.top/cctv.php?id=xjws
海南卫视,https://www.sxtv.top/cctv.php?id=hinws

秒开,#genre#
CCTV1,http://182.139.250.132:5033/HUAWEI/Umai:CHAN/111128@BESTV.SMG.SMG/index.m3u8?playtype=1&usercode=Scdx@CL_is
CCTV2,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000315/index.m3u8?playtype=1&usercode=Scdx@CL_is
CCTV3,http://182.139.250.132:5033/HUAWEI/Umai:CHAN/1369028@BESTV.SMG.SMG/index.m3u8?playtype=1&usercode=Scdx@CL_is
CCTV4,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000343/index.m3u8?playtype=1&usercode=Scdx@CL_is
CCTV5,http://182.139.250.132:5033/HUAWEI/Umai:CHAN/1369029@BESTV.SMG.SMG/index.m3u8?playtype=1&usercode=Scdx@CL_is
CCTV5+,http://182.139.250.132:5033/HUAWEI/00000001000000050000000000000153/index.m3u8?playtype=1&usercode=Scdx@CL_is
CCTV6,http://182.139.250.132:5033/HUAWEI/Umai:CHAN/1369030@BESTV.SMG.SMG/index.m3u8?playtype=1&usercode=Scdx@CL_is
CCTV7,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000344/index.m3u8?playtype=1&usercode=Scdx@CL_is
CCTV8,http://182.139.250.132:5033/HUAWEI/00000001000000050000000000000476/index.m3u8?playtype=1&usercode=Scdx@CL_is
CCTV8,http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576103.m3u8
CCTV9,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000345/index.m3u8?playtype=1&usercode=Scdx@CL_is
CCTV10,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000346/index.m3u8?playtype=1&usercode=Scdx@CL_is
CCTV11,http://182.139.250.132:5033/HUAWEI/00000001000000050000000000000583/index.m3u8?playtype=1&usercode=Scdx@CL_is
CCTV12,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000348/index.m3u8?playtype=1&usercode=Scdx@CL_is
CCTV13,http://182.139.250.132:5033/HUAWEI/00000001000000050000000000000602/index.m3u8?playtype=1&usercode=Scdx@CL_is
CCTV14,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000349/index.m3u8?playtype=1&usercode=Scdx@CL_is
CCTV15,http://182.139.250.132:5033/HUAWEI/00000001000000050000000000000587/index.m3u8?playtype=1&usercode=Scdx@CL_is
CCTV17,http://182.139.250.132:5033/HUAWEI/00000001000000050000000000000580/index.m3u8?playtype=1&usercode=Scdx@CL_is
CGTN,http://182.139.250.132:5033/HUAWEI/00000001000000050000000000000613/index.m3u8?playtype=1&usercode=Scdx@CL_is
CETV1,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000384/index.m3u8?playtype=1&usercode=Scdx@CL_is
CETV2,http://182.139.250.132:5033/syhjcms_hls/98000000000000000001685675010193/index.m3u8?playtype=1&usercode=Scdx@CL_is
CETV4,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000387/index.m3u8?playtype=1&usercode=Scdx@CL_is
CETV4,http://182.139.250.132:5033/syhjcms_hls/98000000000000000001685675077817/index.m3u8?playtype=1&usercode=Scdx@CL_is
安多卫视,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000313/index.m3u8?playtype=1&usercode=Scdx@CL_is
安徽卫视,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000338/index.m3u8?playtype=1&usercode=Scdx@CL_is
北京卫视,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000154/index.m3u8?playtype=1&usercode=Scdx@CL_is
兵团卫视,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000471/index.m3u8?playtype=1&usercode=Scdx@CL_is
兵团卫视,http://182.139.250.132:5033/syhjcms_hls/10000100000000050000000000077202/index.m3u8?playtype=1&usercode=Scdx@CL_is
东方卫视,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000156/index.m3u8?playtype=1&usercode=Scdx@CL_is
东南卫视,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000370/index.m3u8?playtype=1&usercode=Scdx@CL_is
东南卫视,http://182.139.250.132:5033/syhjcms_hls/10000100201705020000001000000010/index.m3u8?playtype=1&usercode=Scdx@CL_is
甘肃卫视,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000476/index.m3u8?playtype=1&usercode=Scdx@CL_is
甘肃卫视,http://182.139.250.132:5033/syhjcms_hls/10000100201705020000001000000007/index.m3u8?playtype=1&usercode=Scdx@CL_is
广东卫视,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000157/index.m3u8?playtype=1&usercode=Scdx@CL_is
广东卫视,http://182.139.250.132:5033/syhjcms_hls/10000100000000050000000000000084/index.m3u8?playtype=1&usercode=Scdx@CL_is
广西卫视,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000267/index.m3u8?playtype=1&usercode=Scdx@CL_is
广西卫视,http://182.139.250.132:5033/syhjcms_hls/10000100201705020000001000000012/index.m3u8?playtype=1&usercode=Scdx@CL_is
贵州卫视,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000379/index.m3u8?playtype=1&usercode=Scdx@CL_is
贵州卫视,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000379/index.m3u8?playtype=1&usercode=Scdx@CL_is
贵州卫视,http://182.139.250.132:5033/syhjcms_hls/10000100201705020000001000000011/index.m3u8?playtype=1&usercode=Scdx@CL_is
海南卫视,http://182.139.250.132:5033/HUAWEI/Umai:CHAN/1334@BESTV.SMG.SMG/index.m3u8?playtype=1&usercode=Scdx@CL_is
海南卫视,http://182.139.250.132:5033/HUAWEI/Umai:CHAN/1334@BESTV.SMG.SMG/index.m3u8?playtype=1&usercode=Scdx@CL_is
海南卫视,http://182.139.250.132:5033/syhjcms_hls/10000100201705020000001000000013/index.m3u8?playtype=1&usercode=Scdx@CL_is
河北卫视,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000381/index.m3u8?playtype=1&usercode=Scdx@CL_is
河南卫视,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000468/index.m3u8?playtype=1&usercode=Scdx@CL_is
河南卫视,http://182.139.250.132:5033/syhjcms_hls/98000000000000000001429143005346/index.m3u8?playtype=1&usercode=Scdx@CL_is
黑龙江卫视,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000164/index.m3u8?playtype=1&usercode=Scdx@CL_is
湖北卫视,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000166/index.m3u8?playtype=1&usercode=Scdx@CL_is
湖北卫视,http://182.139.250.132:5033/syhjcms_hls/10000100201705020000001000000014/index.m3u8?playtype=1&usercode=Scdx@CL_is
湖南卫视,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000155/index.m3u8?playtype=1&usercode=Scdx@CL_is
吉林卫视,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000477/index.m3u8?playtype=1&usercode=Scdx@CL_is
吉林卫视,http://182.139.250.132:5033/syhjcms_hls/10000100201705020000001000000004/index.m3u8?playtype=1&usercode=Scdx@CL_is
江苏卫视,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000205/index.m3u8?playtype=1&usercode=Scdx@CL_is
江西卫视,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000380/index.m3u8?playtype=1&usercode=Scdx@CL_is
江西卫视,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000380/index.m3u8?playtype=1&usercode=Scdx@CL_is
江西卫视,http://182.139.250.132:5033/syhjcms_hls/10000100201705020000001000000003/index.m3u8?playtype=1&usercode=Scdx@CL_is
辽宁卫视,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000353/index.m3u8?playtype=1&usercode=Scdx@CL_is
内蒙古卫视,http://182.139.250.132:5033/HUAWEI/Umai:CHAN/79469@BESTV.SMG.SMG/index.m3u8?playtype=1&usercode=Scdx@CL_is
内蒙古卫视,http://182.139.250.132:5033/syhjcms_hls/10000100201705020000001000000017/index.m3u8?playtype=1&usercode=Scdx@CL_is
宁夏卫视,http://182.139.250.132:5033/HUAWEI/Umai:CHAN/160782@BESTV.SMG.SMG/index.m3u8?playtype=1&usercode=Scdx@CL_is
宁夏卫视,http://182.139.250.132:5033/syhjcms_hls/10000100201705020000001000000018/index.m3u8?playtype=1&usercode=Scdx@CL_is
农林卫视,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000273/index.m3u8?playtype=1&usercode=Scdx@CL_is
青海卫视,http://182.139.250.132:5033/HUAWEI/Umai:CHAN/67026@BESTV.SMG.SMG/index.m3u8?playtype=1&usercode=Scdx@CL_is
青海卫视,http://182.139.250.132:5033/syhjcms_hls/10000100201705020000001000000015/index.m3u8?playtype=1&usercode=Scdx@CL_is
三沙卫视,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000557/index.m3u8?playtype=1&usercode=Scdx@CL_is
厦门卫视,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000556/index.m3u8?playtype=1&usercode=Scdx@CL_is
山东卫视,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000165/index.m3u8?playtype=1&usercode=Scdx@CL_is
山西卫视,http://182.139.250.132:5033/HUAWEI/Umai:CHAN/1344@BESTV.SMG.SMG/index.m3u8?playtype=1&usercode=Scdx@CL_is
山西卫视,http://182.139.250.132:5033/syhjcms_hls/10000100201705020000001000000005/index.m3u8?playtype=1&usercode=Scdx@CL_is
陕西卫视,http://182.139.250.132:5033/HUAWEI/Umai:CHAN/7105@BESTV.SMG.SMG/index.m3u8?playtype=1&usercode=Scdx@CL_is
陕西卫视,http://182.139.250.132:5033/syhjcms_hls/10000100201705020000001000000006/index.m3u8?playtype=1&usercode=Scdx@CL_is
深圳卫视,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000159/index.m3u8?playtype=1&usercode=Scdx@CL_is
四川卫视,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000550/index.m3u8?playtype=1&usercode=Scdx@CL_is
四川卫视,http://182.139.250.132:5033/syhjcms_hls/10000100000000050000000000241375/index.m3u8?playtype=1&usercode=Scdx@CL_is
天津卫视,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000206/index.m3u8?playtype=1&usercode=Scdx@CL_is
西藏卫视,http://182.139.250.132:5033/HUAWEI/Umai:CHAN/77574@BESTV.SMG.SMG/index.m3u8?playtype=1&usercode=Scdx@CL_is
西藏卫视,http://182.139.250.132:5033/syhjcms_hls/10000100201705020000001000000019/index.m3u8?playtype=1&usercode=Scdx@CL_is
新疆卫视,http://182.139.250.132:5033/HUAWEI/Umai:CHAN/126387@BESTV.SMG.SMG/index.m3u8?playtype=1&usercode=Scdx@CL_is
新疆卫视,http://182.139.250.132:5033/syhjcms_hls/10000100201705020000001000000002/index.m3u8?playtype=1&usercode=Scdx@CL_is
云南卫视,http://182.139.250.132:5033/HUAWEI/Umai:CHAN/3444@BESTV.SMG.SMG/index.m3u8?playtype=1&usercode=Scdx@CL_is
云南卫视,http://182.139.250.132:5033/syhjcms_hls/10000100201705020000001000000008/index.m3u8?playtype=1&usercode=Scdx@CL_is
浙江卫视,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000158/index.m3u8?playtype=1&usercode=Scdx@CL_is
重庆卫视,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000352/index.m3u8?playtype=1&usercode=Scdx@CL_is
重庆卫视,http://182.139.250.132:5033/syhjcms_hls/10000100201705020000001000000009/index.m3u8?playtype=1&usercode=Scdx@CL_is
往昔影院,http://182.139.250.132:5033/syhjcms_hls/98000000000000000001681195984396/index.m3u8?playtype=1&usercode=Scdx@CL_is
怀旧经典,http://182.139.250.132:5033/syhjcms_hls/98000000000000000001681196041195/index.m3u8?playtype=1&usercode=Scdx@CL_is
阳光剧场,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000371/index.m3u8?playtype=1&usercode=Scdx@CL_is
童年时光机,http://182.139.250.132:5033/syhjcms_hls/98000000000000000001681368975369/index.m3u8?playtype=1&usercode=Scdx@CL_is
红色经典,http://182.139.250.132:5033/syhjcms_hls/98000000000000000001681368925801/index.m3u8?playtype=1&usercode=Scdx@CL_is
游戏风云,http://182.139.250.132:5033/HUAWEI/Umai:CHAN/2700@BESTV.SMG.SMG/index.m3u8?playtype=1&usercode=Scdx@CL_is
纪实人文,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000337/index.m3u8?playtype=1&usercode=Scdx@CL_is
纪实人文,http://171.221.27.11:5010/HUAWEI/20000001000000050000000000000337/index.m3u8?playtype=1&usercode=Scdx@CL_is
金鹰卡通,http://182.139.250.132:5033/HUAWEI/Umai:CHAN/79467@BESTV.SMG.SMG/index.m3u8?playtype=1&usercode=Scdx@CL_is
金鹰纪实,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000351/index.m3u8?playtype=1&usercode=Scdx@CL_is
中国交通,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000382/index.m3u8?playtype=1&usercode=Scdx@CL_is
金鹰纪实,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000351/index.m3u8?playtype=1&usercode=Scdx@CL_is
中国交通,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000382/index.m3u8?playtype=1&usercode=Scdx@CL_is
中国教育1台,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000384/index.m3u8?playtype=1&usercode=Scdx@CL_is
成都综合,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000558/index.m3u8?playtype=1&usercode=Scdx@CL_is
成都经济,http://182.139.250.132:5033/HUAWEI/00000100000000050000000000036632/index.m3u8?playtype=1&usercode=Scdx@CL_is
成都生活,http://182.139.250.132:5033/HUAWEI/00000100000000050000000000036466/index.m3u8?playtype=1&usercode=Scdx@CL_is
成都影视,http://182.139.250.132:5033/HUAWEI/00000100000000050000000000036633/index.m3u8?playtype=1&usercode=Scdx@CL_is
成都公共,http://182.139.250.132:5033/HUAWEI/10000001009900000000000036957771/index.m3u8?playtype=1&usercode=Scdx@CL_is
成都少儿,http://182.139.250.132:5033/HUAWEI/00000100000000050000000000036634/index.m3u8?playtype=1&usercode=Scdx@CL_is
四川经济,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000412/index.m3u8?playtype=1&usercode=Scdx@CL_is
四川新闻,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000392/index.m3u8?playtype=1&usercode=Scdx@CL_is
四川科教,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000467/index.m3u8?playtype=1&usercode=Scdx@CL_is
四川乡村,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000386/index.m3u8?playtype=1&usercode=Scdx@CL_is
四川文化旅游,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000413/index.m3u8?playtype=1&usercode=Scdx@CL_is
四川影视文艺,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000208/index.m3u8?playtype=1&usercode=Scdx@CL_is
四川SCTV-7,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000369/index.m3u8?playtype=1&usercode=Scdx@CL_is
四川康巴卫视,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000419/index.m3u8?playtype=1&usercode=Scdx@CL_is
四川峨眉电影,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000139/index.m3u8?playtype=1&usercode=Scdx@CL_is
甘孜综合,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000079/index.m3u8?playtype=1&usercode=Scdx@CL_is
达州新闻综合,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000082/index.m3u8?playtype=1&usercode=Scdx@CL_is
广安新闻综合,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000091/index.m3u8?playtype=1&usercode=Scdx@CL_is
东南卫视,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000370/index.m3u8?playtype=1&usercode=Scdx@CL_is
南充科教生活,http://182.139.250.132:5033/HUAWEI/20000002000000050000000000000376/index.m3u8?playtype=1&usercode=Scdx@CL_is
南充综合,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000301/index.m3u8?playtype=1&usercode=Scdx@CL_is
自贡综合,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000287/index.m3u8?playtype=1&usercode=Scdx@CL_is
遂宁综合,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000298/index.m3u8?playtype=1&usercode=Scdx@CL_is
眉山综合,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000302/index.m3u8?playtype=1&usercode=Scdx@CL_is
宜宾新闻综合,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000303/index.m3u8?playtype=1&usercode=Scdx@CL_is
资阳新闻综合,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000306/index.m3u8?playtype=1&usercode=Scdx@CL_is
凉山新闻综合,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000308/index.m3u8?playtype=1&usercode=Scdx@CL_is
巴中综合,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000326/index.m3u8?playtype=1&usercode=Scdx@CL_is
雅安新闻综合,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000342/index.m3u8?playtype=1&usercode=Scdx@CL_is
ABTV,http://182.139.250.132:5033/HUAWEI/20000001000000050000000000000420/index.m3u8?playtype=1&usercode=Scdx@CL_is

中广ipv4,#genre#
CCTV1,http://default0-tenc-live.5gtv.com.cn/live/CCTV1HD.m3u8
CCTV1,https://alicdnhd-hz-hunan-live.5gtv.com.cn/live/XP_CCTV1HD.m3u8
CCTV2,http://default0-tenc-live.5gtv.com.cn/live/CCTV2HD.m3u8
CCTV2,https://alicdnhd-hz-hunan-live.5gtv.com.cn/live/XP_CCTV2HD.m3u8
CCTV3,http://default0-tenc-live.5gtv.com.cn/live/CCTV3HD.m3u8
CCTV3,https://alicdnhd-hz-hunan-live.5gtv.com.cn/live/XP_CCTV3HD.m3u8
CCTV4,http://default0-tenc-live.5gtv.com.cn/live/CCTV4HD.m3u8
CCTV4,https://alicdnhd-hz-hunan-live.5gtv.com.cn/live/XP_CCTV4HD.m3u8
CCTV5,http://default0-tenc-live.5gtv.com.cn/live/CCTV5HD.m3u8
CCTV5,https://alicdnhd-hz-hunan-live.5gtv.com.cn/live/XP_CCTV5HD.m3u8
CCTV5+,http://default0-tenc-live.5gtv.com.cn/live/CCTV5pHD.m3u8
CCTV5+,https://alicdnhd-hz-hunan-live.5gtv.com.cn/live/XP_CCTV5pHD.m3u8
CCTV6,http://default0-tenc-live.5gtv.com.cn/live/CCTV6HD.m3u8
CCTV6,https://alicdnhd-hz-hunan-live.5gtv.com.cn/live/XP_CCTV6HD.m3u8
CCTV7,http://default0-tenc-live.5gtv.com.cn/live/CCTV7HD.m3u8
CCTV7,https://alicdnhd-hz-hunan-live.5gtv.com.cn/live/XP_CCTV7HD.m3u8
CCTV8,http://default0-tenc-live.5gtv.com.cn/live/CCTV8HD.m3u8
CCTV8,https://alicdnhd-hz-hunan-live.5gtv.com.cn/live/XP_CCTV8HD.m3u8
CCTV9,http://default0-tenc-live.5gtv.com.cn/live/CCTV9HD.m3u8
CCTV9,https://alicdnhd-hz-hunan-live.5gtv.com.cn/live/XP_CCTV9HD.m3u8
CCTV10,http://default0-tenc-live.5gtv.com.cn/live/CCTV10HD.m3u8
CCTV10,https://alicdnhd-hz-hunan-live.5gtv.com.cn/live/XP_CCTV10HD.m3u8
CCTV11,http://default0-tenc-live.5gtv.com.cn/live/CCTV11.m3u8
CCTV11,https://alicdnhd-hz-hunan-live.5gtv.com.cn/live/XP_CCTV11.m3u8
CCTV13,http://default0-tenc-live.5gtv.com.cn/live/XP_CCTV13.m3u8
CCTV12,https://alicdnhd-hz-hunan-live.5gtv.com.cn/live/XP_CCTV12HD.m3u8
CCTV13,https://alicdnhd-hz-hunan-live.5gtv.com.cn/live/XP_CCTV13.m3u8
CCTV13,https://livetv-hunan.5gtv.com.cn/live/XP_CCTV13.m3u8
CCTV12,http://default0-tenc-live.5gtv.com.cn/live/CCTV12HD.m3u8
CCTV14,https://alicdnhd-hz-hunan-live.5gtv.com.cn/live/XP_CCTV14HD.m3u8
CCTV14,http://default0-tenc-live.5gtv.com.cn/live/CCTV14HD.m3u8
CCTV15,https://alicdnhd-hz-hunan-live.5gtv.com.cn/live/XP_CCTV15.m3u8
CCTV16,http://default0-tenc-live.5gtv.com.cn/live/CCTV16HD.m3u8
CCTV16,https://alicdnhd-hz-hunan-live.5gtv.com.cn/live/XP_CCTV16HD.m3u8
CCTV17,http://default0-tenc-live.5gtv.com.cn/live/CCTV17HD.m3u8
CCTV17,https://alicdnhd-hz-hunan-live.5gtv.com.cn/live/XP_CCTV17HD.m3u8
CCTV4K,https://alicdnhd-hz-hunan-live.5gtv.com.cn/live/XP_CCTV4K.m3u8
CGTN,https://livetv-hunan.5gtv.com.cn/live/CGTN.m3u8
CETV1,https://livetv-hunan.5gtv.com.cn/live/CETV1.m3u8
北京卫视,http://default0-tenc-live.5gtv.com.cn/live/bjwsHD.m3u8
北京卫视,https://livetv-hunan.5gtv.com.cn/live/bjwsHD.m3u8
